,carat,x,z
3310,0.7,5.76,3.53
47351,0.5,5.08,3.17
9404,0.91,6.14,3.86
47888,0.59,5.4,3.33
39132,0.41,4.77,2.98
38502,0.4,4.72,2.95
22597,1.23,6.98,4.11
15436,1.05,6.48,4.06
3771,0.73,5.79,3.54
3900,0.72,5.72,3.55
46158,0.5,5.14,3.15
4129,1.13,6.63,4.14
46210,0.54,5.22,3.24
11011,1.01,6.38,3.97
34771,0.41,4.8,2.99
43831,0.59,5.4,3.31
30507,0.31,4.34,2.73
40365,0.34,4.46,2.76
38466,0.32,4.43,2.7
19482,1.01,6.4,3.98
1569,0.91,6.09,3.84
45974,0.3,4.3,2.62
723,0.34,4.6,2.66
9333,0.9,6.16,3.88
34458,0.34,4.51,2.76
13455,1.04,6.46,4.07
48613,0.51,5.12,3.17
42278,0.32,4.36,2.72
35605,0.31,4.33,2.7
4582,1.0,6.55,3.77
10077,0.33,4.46,2.78
17348,1.11,6.67,4.08
18573,1.07,6.55,4.05
42875,0.45,4.98,3.01
43397,0.5,5.12,3.15
44046,0.45,5.01,2.96
50567,0.77,5.85,3.59
40549,0.4,4.78,2.92
37145,0.32,4.38,2.72
5386,0.3,4.39,2.57
16078,1.22,6.75,4.29
5730,0.9,6.18,3.77
37410,0.38,4.7,2.88
15930,1.0,6.42,3.8
10307,1.18,6.75,4.3
22667,2.01,7.93,5.21
23168,1.2,6.74,4.28
48350,0.51,5.13,3.17
18575,1.51,7.29,4.52
17082,1.05,6.54,4.04
42484,0.53,5.29,3.13
32085,0.33,4.46,2.77
4850,0.71,5.75,3.54
703,0.91,6.06,3.89
52205,0.7,5.73,3.53
31226,0.32,4.36,2.72
53624,0.3,4.3,2.68
13457,1.15,6.73,4.21
39624,0.3,4.28,2.63
38913,0.33,4.45,2.76
17697,1.51,7.27,4.55
21038,0.31,4.34,2.69
13182,1.2,6.74,4.25
15490,1.04,6.55,4.06
8825,1.12,6.7,4.22
1043,0.61,5.42,3.39
48329,0.34,4.62,2.7
21845,2.04,8.17,5.07
7920,0.91,6.26,3.75
15694,0.29,4.28,2.66
37449,0.34,4.45,2.77
31497,0.34,4.49,2.78
21531,1.17,6.77,4.18
36851,0.37,4.61,2.84
44361,0.55,5.22,3.26
42925,0.57,5.33,3.3
31014,0.35,4.51,2.83
7822,1.0,6.48,3.9
18317,1.16,6.67,4.19
41241,0.46,5.01,3.0
50357,0.78,5.92,3.64
16754,1.13,6.69,4.13
20876,1.18,6.78,4.16
21947,1.5,7.28,4.41
46798,0.7,5.63,3.56
39237,0.51,5.05,3.18
45166,0.5,5.05,3.16
22454,1.56,7.39,4.6
780,0.9,6.07,3.87
52266,0.71,5.73,3.53
20826,1.1,6.75,4.06
11473,0.9,6.15,3.83
37266,0.34,4.5,2.78
4814,0.71,5.77,3.53
15907,0.92,6.26,3.85
21913,1.02,6.56,3.96
8207,0.9,6.17,3.87
32991,0.38,4.64,2.85
15195,1.02,6.4,3.95
32856,0.4,4.63,2.92
1582,0.91,6.13,3.86
3756,0.9,6.12,3.82
48150,0.72,5.67,3.53
36530,0.42,4.83,3.0
29205,0.33,4.42,2.76
36704,0.32,4.41,2.68
46049,0.5,5.08,3.17
31387,0.37,4.63,2.84
43730,0.51,5.06,3.2
23731,1.36,7.12,4.34
44848,0.7,5.46,3.61
23501,1.52,7.31,4.63
7951,1.01,6.33,3.95
18639,1.0,6.41,3.93
20949,1.61,7.66,4.59
45308,0.3,4.28,2.66
37834,0.33,4.5,2.73
8673,1.0,6.31,4.05
17712,0.41,4.76,2.97
8639,1.06,6.52,4.03
45035,0.54,5.23,3.21
15961,1.22,6.78,4.29
48298,0.75,5.79,3.64
52380,0.7,5.65,3.56
40249,0.5,5.15,3.06
48579,0.54,5.3,3.2
35399,0.39,4.76,2.87
42848,0.41,4.78,2.95
23635,2.01,7.99,5.05
26036,0.32,4.38,2.71
33226,0.36,4.54,2.83
39063,0.36,4.61,2.84
27942,0.23,3.91,2.46
45955,0.54,5.21,3.2
46394,0.72,5.89,3.47
19196,1.25,6.95,4.24
45753,0.61,5.46,3.35
38419,0.3,4.26,2.65
40775,0.42,4.9,2.94
36347,0.31,4.33,2.74
23213,1.61,7.47,4.61
10689,1.0,6.53,3.78
34450,0.32,4.45,2.67
28791,0.3,4.39,2.6
23028,0.3,4.32,2.67
29370,0.31,4.32,2.73
41863,0.4,4.76,2.92
12722,1.02,6.5,3.97
2738,0.52,5.17,3.2
53899,0.72,5.74,3.6
22421,1.53,7.42,4.56
43570,0.41,4.8,2.95
39652,0.37,4.62,2.85
9487,1.01,6.31,3.98
46424,0.53,5.21,3.18
16711,0.31,4.37,2.69
28365,0.36,4.56,2.85
45419,0.55,5.29,3.25
20531,1.46,7.26,4.52
45538,0.51,5.19,3.14
33174,0.41,4.84,2.87
46918,0.7,5.72,3.56
11572,1.02,6.53,3.86
18507,1.1,6.63,4.09
15276,1.22,6.84,4.24
37643,0.32,4.35,2.72
40536,0.51,5.1,3.18
20001,1.23,6.92,4.24
20716,0.31,4.34,2.72
3311,0.9,6.24,3.63
28572,0.3,4.3,2.68
51746,0.76,5.88,3.62
40816,0.38,4.68,2.91
34093,0.43,4.88,2.98
15779,1.15,6.72,4.18
51005,0.68,5.8,3.39
20116,1.29,6.89,4.35
43504,0.43,4.9,3.0
42437,0.53,5.13,3.24
38799,0.31,4.38,2.67
13424,1.2,6.9,4.09
28023,0.3,4.26,2.65
33815,0.4,4.65,2.96
13456,1.01,6.5,3.94
6421,0.8,5.93,3.7
51489,0.75,5.7,3.63
35451,0.32,4.38,2.71
20866,1.31,7.08,4.37
8519,1.04,6.45,4.0
53724,0.71,5.76,3.55
40658,0.5,5.16,3.08
20150,1.52,7.32,4.57
32159,0.39,4.66,2.9
52654,0.73,5.87,3.54
8843,0.98,6.31,3.94
45295,0.51,5.15,3.11
35035,0.42,4.79,3.0
46088,0.53,5.22,3.21
42477,0.5,5.12,3.16
27868,0.42,4.74,3.01
37792,0.38,4.62,2.88
2728,0.31,4.36,2.69
4340,0.81,5.97,3.71
8399,0.3,4.26,2.64
51619,0.72,5.7,3.6
40628,0.41,4.78,2.96
5056,0.3,4.4,2.64
7684,0.96,6.36,3.81
32181,0.39,4.65,2.91
12019,1.04,6.67,3.95
7782,1.02,6.54,3.9
38591,0.43,4.85,2.99
2556,0.9,6.12,3.85
40117,0.41,4.77,2.93
7272,1.04,6.5,4.0
5936,1.01,6.32,3.86
5182,0.83,6.03,3.75
12024,1.0,6.39,3.96
11715,0.34,4.41,2.77
34880,0.3,4.33,2.68
32190,0.35,4.57,2.79
38710,0.46,4.92,3.03
15885,1.02,6.41,4.02
2822,0.81,5.92,3.71
44217,0.57,5.34,3.29
47356,0.56,5.28,3.3
42533,0.4,4.78,2.92
40670,0.44,4.88,3.01
21357,1.01,6.45,3.98
45487,0.5,5.04,3.15
4138,0.77,5.84,3.64
37533,0.38,4.72,2.82
14736,1.01,6.45,3.99
15900,1.07,6.53,4.07
11955,1.11,6.74,4.03
3452,0.74,5.78,3.6
51477,0.75,5.82,3.62
34035,0.3,4.31,2.67
50754,0.72,5.79,3.56
51953,0.63,5.45,3.42
30625,0.28,4.18,2.63
43854,0.55,5.32,3.18
35936,0.42,4.75,2.97
9524,0.9,6.17,3.86
26702,0.32,4.35,2.72
27964,0.3,4.31,2.66
47279,0.55,5.21,3.26
19232,1.12,6.67,4.11
6113,1.02,6.42,4.02
53642,0.7,5.66,3.54
6755,0.9,6.11,3.81
38496,0.42,4.8,3.0
48443,0.51,5.12,3.2
19868,1.46,7.29,4.53
18672,1.08,6.56,4.06
14794,1.05,6.63,3.95
39409,0.41,4.84,2.89
52051,0.72,5.67,3.5
14391,0.3,4.25,2.68
52141,0.76,5.74,3.63
34631,0.31,4.41,2.68
40519,0.37,4.64,2.82
53742,0.74,5.81,3.64
29204,0.33,4.46,2.76
33827,0.41,4.68,2.94
8747,1.06,6.55,4.03
36951,0.25,4.06,2.47
19703,0.37,4.7,2.8
34186,0.33,4.41,2.76
16630,1.09,6.72,3.97
49748,0.63,5.54,3.43
43092,0.52,5.29,3.1
31496,0.34,4.51,2.76
47392,0.54,5.23,3.23
19061,1.61,7.51,4.62
46056,0.51,5.14,3.22
42544,0.58,5.38,3.28
31686,0.26,4.11,2.56
7466,0.9,6.32,3.79
13673,1.1,6.58,4.12
1981,0.7,5.68,3.53
26676,0.27,4.13,2.58
18392,1.2,6.85,4.18
37052,0.46,4.93,3.06
19318,1.41,7.17,4.47
47233,0.71,5.65,3.57
22113,1.5,7.22,4.57
21557,1.54,7.61,4.53
30840,0.33,4.5,2.73
29578,0.41,4.75,2.93
27798,0.37,4.61,2.82
9622,0.9,6.19,3.89
35641,0.31,4.36,2.69
38292,0.28,4.19,2.6
44783,0.51,5.12,3.18
12947,1.11,6.65,4.15
22484,1.51,7.09,4.59
53268,0.7,5.78,3.49
31140,0.41,4.72,2.98
40574,0.48,5.07,3.05
13758,1.29,6.96,4.3
51342,0.79,5.52,3.35
52771,0.8,6.05,3.63
844,1.08,6.55,4.03
33778,0.32,4.43,2.73
49834,0.72,5.66,3.62
49172,0.7,5.69,3.55
28926,0.3,4.32,2.65
15023,1.0,6.55,3.87
21905,1.52,7.26,4.57
32747,0.36,4.63,2.84
21055,0.31,4.31,2.68
38095,0.36,4.6,2.83
36796,0.34,4.45,2.78
3883,1.01,6.35,4.05
52964,0.24,4.07,2.45
35593,0.31,4.43,2.67
17924,1.01,6.47,3.98
45778,0.51,5.13,3.17
41243,0.46,5.04,2.99
51281,0.73,5.68,3.62
45703,0.56,5.28,3.28
12251,1.01,6.54,3.91
18104,1.02,6.48,3.96
7404,0.33,4.38,2.75
30983,0.37,4.57,2.89
8148,1.01,6.48,3.99
31315,0.32,4.34,2.69
42485,0.53,5.14,3.27
23068,1.55,7.44,4.6
7917,1.09,6.64,4.02
35812,0.31,4.38,2.72
44664,0.36,4.58,2.84
22656,1.54,7.35,4.56
19110,1.21,6.92,4.18
34245,0.4,4.73,2.98
35236,0.39,4.68,2.87
53797,0.72,5.77,3.55
44288,0.52,5.27,3.11
30779,0.33,4.49,2.75
50072,0.72,5.77,3.52
31795,0.42,4.84,2.96
37314,0.38,4.61,2.9
18605,1.06,6.55,4.03
13651,1.16,6.83,4.09
49018,0.5,5.09,3.17
39404,0.41,4.8,2.94
8053,0.23,3.96,2.45
5064,0.3,4.34,2.69
45759,0.96,6.15,4.09
20351,1.04,6.46,4.01
27858,0.3,4.31,2.68
36797,0.34,4.45,2.78
22,0.23,3.94,2.41
14403,1.08,6.84,3.99
52600,0.71,5.69,3.51
32978,0.37,4.61,2.83
9283,1.04,6.56,3.98
51126,0.6,5.52,3.27
53469,0.71,5.69,3.52
48042,0.51,5.09,3.19
45385,0.55,5.27,3.28
13622,1.0,6.42,3.96
28658,0.32,4.43,2.72
35116,0.3,4.29,2.68
15398,1.2,6.8,4.23
43823,0.51,5.11,3.25
20992,1.73,7.67,4.74
14054,0.3,4.29,2.63
34817,0.36,4.57,2.84
53611,0.35,4.57,2.74
5347,0.9,6.2,3.83
51727,0.72,5.75,3.55
39898,0.42,4.84,2.98
44869,0.63,5.52,3.42
30682,0.3,4.21,2.65
41945,0.35,4.55,2.8
16120,1.27,6.83,4.28
36830,0.3,4.28,2.64
35665,0.31,4.35,2.68
39135,0.41,4.76,2.97
34443,0.31,4.38,2.72
2596,0.52,5.15,3.2
14677,1.02,6.43,4.02
15019,1.2,6.73,4.18
23089,1.47,7.27,4.55
53588,0.7,5.66,3.52
2974,0.91,6.18,3.84
3127,0.9,6.3,3.71
18594,1.03,6.55,3.99
44692,0.51,5.11,3.22
9311,1.12,6.62,4.17
27873,0.42,4.87,2.94
44644,0.28,4.16,2.61
43490,0.51,5.13,3.16
38145,0.3,4.27,2.7
33514,0.44,4.88,3.07
11264,1.16,6.72,4.19
40327,0.45,4.79,3.09
1531,0.74,5.83,3.63
7358,1.1,6.59,4.09
36375,0.31,4.45,2.66
13975,1.19,6.8,4.24
19585,1.51,7.19,4.58
46986,0.71,5.6,3.55
2688,0.9,6.12,3.91
45245,0.61,5.46,3.36
33639,0.38,4.63,2.88
9043,0.31,4.29,2.65
53269,0.82,5.91,3.69
37407,0.46,4.97,3.07
23235,1.71,7.82,4.71
46435,0.54,5.27,3.19
2268,0.73,5.79,3.58
11170,1.25,6.93,4.24
17668,1.06,6.57,4.02
37936,0.26,4.09,2.55
44185,0.5,5.06,3.19
20514,1.02,6.54,4.05
16632,1.12,6.64,4.13
30369,0.36,4.59,2.9
46966,0.3,4.31,2.67
7517,1.01,6.27,3.95
8394,0.37,4.59,2.91
34440,0.32,4.41,2.72
27817,0.34,4.43,2.82
7657,1.1,6.57,4.1
40233,0.39,4.69,2.88
41452,0.4,4.72,2.89
263,0.71,5.83,3.46
50422,0.7,5.69,3.54
3232,0.74,5.89,3.5
39746,0.43,4.87,3.02
22403,1.58,7.44,4.57
4405,0.31,4.25,2.7
42780,0.41,4.71,2.95
30505,0.31,4.35,2.7
1206,0.76,6.12,3.52
7110,1.19,6.93,4.05
19805,1.51,7.36,4.58
20753,1.59,7.48,4.59
21608,1.55,7.54,4.57
49678,0.53,5.21,3.21
42324,0.41,4.77,2.96
49409,0.7,5.7,3.54
41773,0.55,5.23,3.25
3436,0.9,6.12,3.82
44473,0.54,5.18,3.24
8479,1.01,6.35,4.0
21610,1.52,7.18,4.63
23201,2.04,8.25,5.01
31419,0.4,4.74,2.94
36296,0.32,4.35,2.74
20848,1.5,7.26,4.62
16554,1.02,6.42,3.99
12783,0.9,6.23,3.77
10101,0.9,6.12,3.85
33967,0.32,4.43,2.73
2915,1.04,6.64,3.85
48143,0.77,5.87,3.63
11838,1.2,6.87,4.2
42410,0.31,4.42,2.69
47761,0.51,5.16,3.13
15416,1.28,7.17,4.12
37153,0.36,4.63,2.76
39260,0.3,4.36,2.66
11613,1.14,6.84,4.04
49978,0.31,4.27,2.73
5209,0.9,6.27,3.77
17866,1.32,7.07,4.28
33145,0.31,4.33,2.74
37584,0.32,4.4,2.69
10114,1.02,6.44,4.0
37914,0.41,4.76,2.98
28970,0.31,4.43,2.61
47728,0.58,5.4,3.31
49173,0.7,5.61,3.57
35642,0.31,4.36,2.71
16660,1.18,6.79,4.24
15036,0.3,4.26,2.69
10054,0.26,4.13,2.53
47151,0.55,5.32,3.2
48881,0.6,5.39,3.37
33229,0.33,4.5,2.76
31494,0.34,4.5,2.78
52249,0.74,5.82,3.61
46263,0.57,5.29,3.31
29983,0.43,4.87,3.02
1853,0.7,5.7,3.52
51065,0.78,5.94,3.64
7169,0.91,6.14,3.89
11530,1.0,6.56,3.77
14460,1.03,6.51,3.96
53490,0.71,5.67,3.54
5887,1.03,6.28,4.02
16294,1.2,6.83,4.22
52194,0.7,5.66,3.49
18840,1.51,7.4,4.53
9261,0.92,6.23,3.89
32022,0.31,4.37,2.69
63,0.3,4.3,2.68
28407,0.35,4.54,2.81
20691,1.09,6.62,4.08
36288,0.34,4.48,2.78
53553,0.78,5.94,3.63
39551,0.32,4.38,2.73
29425,0.42,4.78,2.99
33260,0.42,4.8,2.95
39721,0.52,5.16,3.19
10198,0.93,6.26,3.91
29853,0.3,4.24,2.68
50644,0.31,4.33,2.68
33916,0.3,4.26,2.65
35819,0.31,4.39,2.69
31960,0.25,4.09,2.52
36071,0.4,4.7,2.95
48725,0.52,5.2,3.19
29062,0.4,4.69,2.96
44026,0.51,5.09,3.17
11475,1.0,6.23,4.05
1518,0.74,5.8,3.6
18157,1.46,7.36,4.4
13658,1.01,6.43,3.95
27884,0.36,4.55,2.8
47405,0.51,5.13,3.21
5246,1.0,6.32,3.91
50164,0.7,5.71,3.46
22710,2.06,8.22,5.03
15705,0.24,4.04,2.45
46797,0.7,5.63,3.53
50353,0.73,5.81,3.51
11212,1.15,6.75,4.16
45904,0.54,5.31,3.18
6012,1.09,6.58,4.06
5293,0.9,6.12,3.88
6261,1.01,6.64,3.88
16265,1.02,6.52,3.95
44527,0.6,5.52,3.37
47712,0.5,5.06,3.21
28668,0.32,4.36,2.68
18172,1.01,6.38,4.04
19892,1.2,6.91,4.19
39321,0.37,4.61,2.85
8050,0.25,4.1,2.52
11652,1.01,6.35,4.02
50800,0.61,5.46,3.34
13861,1.15,6.66,4.16
46126,0.51,5.11,3.18
29814,0.3,4.26,2.65
40154,0.35,4.62,2.72
14772,1.01,6.37,3.95
16944,1.28,7.08,4.26
51755,0.7,5.76,3.49
16471,1.2,6.91,4.22
43568,0.41,4.78,2.97
8860,0.97,6.31,3.95
1532,0.74,5.83,3.54
51085,0.89,5.82,3.94
4509,0.74,5.79,3.59
48393,0.5,5.12,3.09
44251,0.51,5.11,3.17
48611,0.51,5.12,3.18
12176,1.02,6.44,4.05
4172,0.92,6.27,3.87
32418,0.41,4.7,2.97
13342,1.26,6.99,4.24
19092,1.08,6.58,4.13
34199,0.33,4.47,2.77
23217,1.14,6.79,4.09
21510,1.73,7.71,4.75
21027,1.52,7.5,4.48
13939,0.99,6.34,3.98
53525,0.74,5.78,3.57
39989,0.41,4.84,2.95
37800,0.51,5.12,3.18
20082,1.33,7.18,4.27
17791,1.0,6.5,3.93
1235,1.03,6.3,4.12
6257,0.92,6.2,3.87
10859,1.03,6.49,3.98
44512,0.54,5.22,3.23
41898,0.54,5.2,3.24
5913,0.84,6.07,3.77
53404,0.76,5.76,3.64
41755,0.57,5.34,3.32
40609,0.29,4.27,2.64
32132,0.41,4.82,2.93
28359,0.4,4.74,2.96
10298,1.01,6.36,4.01
43384,0.5,5.14,3.13
10456,1.14,6.62,4.19
30737,0.43,4.8,3.04
39519,0.36,4.57,2.82
40032,0.47,5.09,3.02
3002,0.81,5.95,3.71
28085,0.3,4.31,2.72
29968,0.31,4.34,2.71
52184,0.7,5.72,3.61
18753,1.01,6.41,4.06
40685,0.53,5.19,3.27
44416,0.58,5.4,3.33
21805,1.21,6.96,4.19
5821,1.02,6.4,3.99
12472,1.08,6.56,4.07
13448,1.2,6.75,4.21
13650,1.15,6.66,4.16
50891,0.7,5.75,3.51
661,0.72,5.79,3.5
20435,1.5,7.24,4.47
40114,0.41,4.83,2.91
17705,0.31,4.32,2.68
46700,0.55,5.36,3.17
53734,0.77,5.9,3.6
50414,0.71,5.61,3.59
37089,0.41,4.77,2.97
36065,0.38,4.65,2.88
11930,1.05,6.45,4.06
10478,1.01,6.32,4.04
40877,0.52,5.18,3.19
18542,1.47,7.28,4.48
40888,0.42,4.77,2.98
3551,1.07,6.42,4.11
5371,0.3,4.26,2.68
15324,1.23,6.79,4.25
33005,0.44,4.92,3.01
53082,0.56,5.27,3.27
7304,1.0,6.32,3.93
39248,0.41,4.74,2.97
36934,0.24,3.91,2.49
15231,1.0,6.38,3.94
45148,0.5,5.08,3.16
39273,0.25,4.1,2.43
31885,0.3,4.35,2.66
12132,1.08,6.56,4.1
11620,1.03,6.41,3.91
35876,0.48,5.05,3.09
17256,1.04,6.49,3.99
28321,0.33,4.41,2.76
49134,0.56,5.3,3.27
9531,0.83,6.07,3.73
3266,0.71,5.74,3.56
23607,1.56,7.5,4.6
18021,1.5,7.15,4.57
7409,0.33,4.41,2.68
43221,0.4,4.85,2.88
48300,0.31,4.33,2.69
36816,0.51,5.11,3.2
12858,1.1,6.61,4.11
11139,1.0,6.36,3.89
15927,1.17,6.77,4.16
39708,0.58,5.36,3.31
31267,0.32,4.37,2.74
18887,1.01,6.42,3.99
48032,0.5,5.15,3.15
13695,1.0,6.29,3.91
22494,2.0,8.12,5.03
6420,0.8,5.98,3.66
31106,0.4,4.74,2.94
49624,0.3,4.27,2.72
50061,0.71,5.68,3.55
11523,1.24,6.91,4.22
46607,0.54,5.23,3.25
2494,0.9,6.13,3.87
39052,0.54,5.21,3.24
30503,0.31,4.34,2.72
16424,1.3,7.0,4.34
18429,1.12,6.72,4.11
16192,1.07,6.6,4.01
33678,0.3,4.32,2.66
3032,0.26,4.06,2.57
40397,0.34,4.46,2.76
29015,0.31,4.37,2.69
3006,0.71,5.69,3.56
47349,0.5,5.08,3.18
28115,0.42,4.8,2.99
42726,0.37,4.71,2.8
10185,1.0,6.36,4.0
31159,0.41,4.71,2.97
14199,1.0,6.29,3.96
4891,1.04,6.51,4.0
18199,1.46,7.13,4.5
49326,0.51,5.17,3.17
46224,0.61,5.47,3.34
22909,1.51,7.5,4.48
23311,1.5,7.16,4.57
13340,1.05,6.55,3.99
42931,0.32,4.38,2.7
52803,0.94,6.34,3.91
22823,1.52,7.38,4.57
10774,1.02,6.65,3.86
6247,0.9,6.16,3.81
21974,1.76,7.76,4.8
37807,0.35,4.54,2.82
10950,1.06,6.6,3.96
28878,0.31,4.39,2.65
52168,0.7,5.63,3.55
50455,0.7,5.6,3.56
41330,0.5,4.87,3.23
46496,0.5,5.12,3.1
3045,0.27,4.12,2.6
9213,1.18,6.75,4.16
14285,1.06,6.5,4.05
49706,0.6,5.37,3.36
5363,1.01,6.42,3.86
51789,0.7,5.79,3.52
4176,0.9,6.19,3.78
43734,0.51,5.05,3.17
49252,0.71,5.76,3.56
49691,0.5,5.08,3.19
52376,0.71,5.77,3.53
44675,0.55,5.24,3.25
16521,1.31,6.99,4.28
42574,0.59,5.53,3.16
51521,0.6,5.43,3.38
6304,1.5,7.31,4.57
35026,0.4,4.69,2.91
27912,0.26,4.1,2.53
27816,0.34,4.56,2.78
2557,0.73,5.81,3.55
48003,0.52,5.17,3.19
19786,1.64,7.56,4.75
20344,1.51,7.37,4.55
7891,1.0,6.39,3.89
52203,0.7,5.73,3.53
10080,1.07,6.6,4.05
32112,0.36,4.59,2.85
7635,0.93,6.25,3.9
38439,0.35,4.55,2.83
49919,0.7,5.6,3.53
11982,1.06,6.5,4.04
5106,0.72,5.77,3.56
14002,1.2,6.77,4.22
46349,0.58,5.38,3.3
30192,0.42,4.85,2.91
22149,2.01,7.96,5.0
36053,0.31,4.33,2.68
38331,0.32,4.42,2.72
22280,1.56,7.41,4.59
48999,0.72,5.83,3.5
9195,1.31,7.03,4.32
16705,0.3,4.29,2.63
46908,0.72,5.71,3.59
41660,0.5,5.1,3.15
30000,0.43,4.83,3.0
12440,1.0,6.44,3.9
40343,0.39,4.7,2.9
15147,1.52,7.28,4.54
40126,0.41,4.73,2.96
22972,1.2,6.83,4.23
19713,1.51,7.19,4.63
30314,0.43,4.94,2.94
7497,1.04,6.52,3.99
29810,0.3,4.28,2.65
8296,1.13,6.7,4.13
36385,0.45,4.99,2.99
42907,0.39,4.78,2.81
28394,0.33,4.41,2.74
6452,1.14,6.74,4.13
21623,1.76,7.79,4.76
17370,0.32,4.4,2.71
8225,1.0,6.39,3.94
47299,0.3,4.33,2.63
40632,0.41,4.8,2.95
39182,0.35,4.54,2.8
47235,0.51,5.19,3.11
12604,1.01,6.5,3.95
42735,0.51,5.09,3.19
41928,0.4,4.73,2.91
15785,1.33,7.02,4.38
11951,1.13,6.65,4.07
16064,1.01,6.42,3.98
4940,1.01,6.55,3.89
1401,0.25,4.05,2.52
40688,0.5,5.22,3.07
39297,0.3,4.27,2.67
46574,0.56,5.31,3.32
11428,1.01,6.35,3.95
6051,0.32,4.42,2.77
32290,0.31,4.43,2.62
12613,1.14,6.69,4.15
36924,0.41,4.82,2.92
38403,0.35,4.54,2.79
19929,1.52,7.37,4.58
38817,0.39,4.7,2.92
33948,0.31,4.35,2.67
1475,1.0,6.42,3.99
52361,0.71,5.86,3.51
43070,0.46,5.05,3.04
49324,0.51,5.08,3.18
12773,1.11,6.65,4.12
10558,1.11,6.74,3.96
34620,0.31,4.42,2.67
47781,0.76,5.82,3.67
41220,0.43,4.77,2.99
7276,1.0,6.33,4.02
22161,1.27,6.96,4.26
33509,0.4,4.68,2.92
29500,0.32,4.38,2.71
8857,1.0,6.39,3.96
41517,0.44,4.84,3.03
44886,0.5,5.12,3.06
361,0.81,5.89,3.69
41154,0.41,4.81,2.98
40870,0.64,5.54,3.45
51151,0.81,6.03,3.62
22188,1.53,7.53,4.48
41489,0.52,5.12,3.16
50755,0.7,5.67,3.52
671,0.84,6.1,3.74
28207,0.4,4.7,2.93
3785,0.75,5.83,3.66
20869,1.01,6.34,4.0
14861,1.01,6.36,3.81
43142,0.46,4.97,3.02
45584,0.52,5.12,3.22
5025,0.91,6.32,3.68
894,0.7,5.68,3.55
46144,0.5,5.11,3.15
44890,0.5,5.1,3.15
2482,0.9,6.11,3.87
2585,1.1,6.77,4.03
52237,0.61,5.43,3.38
48386,0.5,5.08,3.11
19914,1.51,7.2,4.57
45386,0.55,5.26,3.25
12527,1.25,6.9,4.27
21964,1.23,6.84,4.25
32759,0.34,4.54,2.73
51666,0.7,5.63,3.54
31278,0.32,4.33,2.76
7376,0.76,5.84,3.65
3799,1.0,6.26,4.01
43779,0.4,4.81,2.89
9153,1.02,6.43,3.98
5844,0.92,6.12,3.92
38606,0.4,4.75,2.98
30722,0.41,4.74,3.01
52768,0.72,5.67,3.61
3626,0.9,6.22,3.69
21221,1.52,7.18,4.65
52508,0.73,5.74,3.56
41704,0.53,5.26,3.12
2122,0.77,5.93,3.69
31857,0.3,4.36,2.62
18088,1.39,6.99,4.42
33731,0.39,4.75,2.88
42871,0.43,4.81,3.0
47176,0.51,5.17,3.18
37434,0.33,4.46,2.76
15724,1.04,6.44,4.02
29701,0.31,4.26,2.71
11042,0.31,4.34,2.69
3686,0.9,6.14,3.85
31738,0.35,4.55,2.79
3534,0.72,5.78,3.55
4668,1.01,6.26,4.12
8789,1.23,7.02,4.06
21607,1.51,7.42,4.5
47797,0.57,5.36,3.26
39949,0.24,3.86,2.52
31375,0.31,4.42,2.58
16943,1.05,6.5,4.03
6518,1.0,6.21,4.02
47886,0.59,5.46,3.32
28937,0.3,4.28,2.72
36965,0.41,4.77,2.93
34420,0.3,4.32,2.68
32016,0.42,4.84,2.98
38783,0.31,4.38,2.66
38194,0.41,4.74,2.99
35712,0.3,4.36,2.63
50410,1.01,6.42,3.99
32645,0.31,4.36,2.69
20836,1.01,6.45,3.91
11823,1.33,7.21,4.29
9455,1.07,6.58,4.07
23457,1.21,6.89,4.21
12301,1.0,6.4,3.93
8823,1.16,6.68,4.2
1713,0.32,4.32,2.72
53692,1.0,6.26,4.03
14329,1.03,6.48,3.97
37273,0.26,4.08,2.54
40886,0.57,5.38,3.28
48184,0.6,5.32,3.38
544,0.8,5.91,3.75
27371,0.31,4.36,2.72
41735,0.41,4.78,2.95
17079,1.03,6.49,3.99
43346,0.51,5.25,3.14
33175,0.41,4.73,2.97
195,0.7,5.67,3.54
432,0.55,5.23,3.23
28243,0.33,4.42,2.74
46716,0.61,5.4,3.32
43108,0.54,5.23,3.22
50737,0.52,5.16,3.2
918,1.02,6.53,3.93
51850,0.7,5.71,3.53
10987,1.01,6.32,3.95
11718,0.34,4.44,2.76
44115,0.5,5.12,3.2
28289,0.3,4.3,2.67
27758,0.32,4.39,2.68
13659,1.24,6.87,4.25
4541,1.0,6.56,3.77
39873,0.45,4.81,3.14
32598,0.3,4.34,2.64
2335,0.74,5.79,3.6
26365,0.32,4.38,2.7
41366,0.43,4.92,2.97
162,0.73,5.79,3.58
4557,0.9,6.06,3.85
35058,0.38,4.67,2.87
6673,1.23,6.91,4.25
40819,0.39,4.71,2.91
46584,0.55,5.29,3.23
5961,0.9,6.33,3.65
3957,0.9,6.09,3.74
14316,1.09,6.61,4.06
19266,1.39,7.24,4.41
40100,0.33,4.46,2.7
21344,1.0,6.37,3.92
39640,0.51,5.16,3.15
39156,0.36,4.61,2.79
16346,1.03,6.43,4.06
29855,0.3,4.29,2.69
1547,0.71,5.68,3.54
4233,0.9,6.09,3.88
45325,0.32,4.34,2.75
20722,0.31,4.31,2.7
27975,0.3,4.25,2.66
3105,0.72,5.77,3.58
